"anonym_id","bat_1","bat_2","bat_3","bat_4","ppqr_stress_1","ppqr_stress_2","ppqr_stress_3","ppqr_stress_4","ppqr_stress_5","ppqr_stress_6","ppqr_attitude_7","ppqr_attitude_8","ppqr_attitude_9","ppqr_attitude_10","ppqr_attitude_11","ppqr_attitude_12","ppqr_resources_13","ppqr_resources_14","ppqr_resources_15","ppqr_resources_16","ppqr_resources_17","ppqr_resources_18","jis_1","jis_2","jis_3","jis_4","wlbm_1","wlbm_2","wlbm_3","wlbm_4","copsoq_workload_1","copsoq_workload_2","copsoq_workload_3","copsoq_workload_4","copsoq_soc_sup_1","copsoq_soc_sup_2","copsoq_soc_sup_3","copsoq_soc_sup_4","copsoq_soc_sup_5","copsoq_soc_sup_6","copsoq_oppor_1","copsoq_oppor_2","copsoq_oppor_3","qrp_attitude_1","qrp_attitude_2","qrp_attitude_3","qrp_attitude_4","qrp_attitude_5","qrp_attitude_6","qrp_attitude_7","qrp_attitude_8","copsoq_infl_1","copsoq_infl_2","copsoq_infl_3","copsoq_infl_4","copsoq_infl_5","copsoq_infl_6","copsoq_meaning_1","copsoq_meaning_2","role_ambiguity_01","role_ambiguity_02","role_ambiguity_03","role_ambiguity_04","role_ambiguity_05","role_ambiguity_06","role_conflict_07","role_conflict_08","role_conflict_09","role_conflict_10","role_conflict_11","role_conflict_12","pay_satisfaction_1","pay_satisfaction_2","tool_satisfaction_1","tool_satisfaction_2","general_satisfaction_1","general_satisfaction_2","open_practice","gender","title","discipline","last_published","academia_length","phd_dissertation","finished","research_yes_no","academic_yes_no","consent","attention","lazy_responding"
163,3,3,3,4,4,4,4,4,4,4,5,5,5,5,4,5,4,4,2,3,3,2,4,3,2,3,5,5,5,5,4,3,3,4,3,3,3,2,2,2,4,4,4,1,1,1,1,1,1,1,1,3,3,2,3,3,3,3,3,4,5,4,3,2,3,6,6,4,6,6,6,5,5,2,3,2,2,1,"Woman","PhD student","STEM (science, technology, engineering, mathematics)","This year","1-5 years","3-4 articles",TRUE,TRUE,TRUE,TRUE,"Passed",FALSE
164,3,3,2,2,3,3,5,4,3,3,4,4,4,4,2,3,2,4,5,3,3,3,5,5,3,4,4,4,4,4,4,1,4,4,2,2,2,3,4,3,4,5,5,1,1,1,2,3,1,1,1,4,4,2,3,3,4,5,5,3,3,4,3,2,3,4,5,2,5,4,3,4,4,7,5,5,4,1,"Woman","Associate Professor","Non-STEM","This year","More than 10 years",NA,TRUE,TRUE,TRUE,TRUE,"Passed",FALSE
165,3,3,2,4,4,5,5,4,4,4,3,4,4,4,3,5,4,4,5,5,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,4,3,1,1,1,1,2,1,3,3,4,4,3,4,2,3,4,4,3,2,3,3,2,2,4,5,2,5,5,3,2,2,2,4,5,6,1,"Man","Assistant Professor","Non-STEM","This year","More than 10 years",NA,TRUE,TRUE,TRUE,TRUE,"Passed",FALSE
166,2,2,2,2,1,2,2,2,2,1,3,4,4,4,2,5,5,5,5,5,5,4,5,5,5,5,1,1,1,1,3,4,3,2,5,5,3,4,4,3,5,5,5,1,1,1,1,2,1,1,1,4,3,3,4,3,4,4,3,3,6,2,6,7,3,3,5,1,3,2,6,6,6,6,6,6,6,1,"Man","Full Professor","Non-STEM","In the last year","More than 10 years",NA,TRUE,TRUE,TRUE,TRUE,"Passed",FALSE
167,2,3,2,3,2,2,4,3,4,2,2,3,3,4,2,4,4,4,4,4,2,4,4,4,2,5,2,1,2,2,4,4,4,4,3,3,2,4,4,3,4,4,4,2,1,1,2,4,1,2,3,4,4,3,3,3,4,3,3,5,6,5,3,5,4,5,7,5,5,5,6,7,6,6,5,5,5,1,"Man","Full Professor","Non-STEM","This year","More than 10 years",NA,TRUE,TRUE,TRUE,TRUE,"Passed",FALSE
168,3,3,2,4,5,2,4,3,3,1,5,5,5,5,3,5,4,4,4,3,2,3,5,5,3,5,1,1,2,1,3,3,1,2,5,5,2,4,4,1,3,4,3,3,1,3,1,3,1,3,3,4,3,2,3,4,5,4,4,1,2,1,3,3,2,4,1,1,3,4,5,3,5,2,5,5,5,1,"Woman","Post Doc","Non-STEM","This year","More than 10 years",NA,TRUE,TRUE,TRUE,TRUE,"Passed",FALSE
169,4,3,2,3,2,5,4,4,3,3,4,4,4,5,4,4,4,4,4,4,4,4,5,5,4,4,4,4,3,2,3,3,3,3,2,1,1,3,3,3,3,4,4,1,1,1,2,2,1,1,1,3,4,3,4,4,4,4,4,3,5,3,3,5,3,5,5,4,5,5,3,2,2,2,2,5,5,1,"Woman","Assistant Professor","Non-STEM","This year","More than 10 years",NA,TRUE,TRUE,TRUE,TRUE,"Passed",FALSE
170,4,1,2,3,2,4,5,1,2,4,4,5,5,5,3,5,4,4,2,2,2,4,4,4,4,4,4,5,5,4,4,5,5,5,4,4,2,3,4,3,5,5,4,2,2,2,1,2,1,1,2,3,3,2,2,3,4,4,4,1,2,1,5,1,3,1,3,1,1,1,2,5,5,5,5,6,6,1,"Woman","Post Doc","STEM (science, technology, engineering, mathematics)","This year","6-10 years",NA,TRUE,TRUE,TRUE,TRUE,"Passed",FALSE
171,2,2,1,2,2,2,4,2,2,2,2,2,2,2,2,2,4,3,4,4,4,4,4,4,2,3,1,1,1,1,3,2,3,2,4,4,3,4,4,3,5,5,5,1,1,1,1,2,1,1,1,5,5,3,4,4,4,5,4,2,3,2,2,2,4,5,7,6,5,5,6,7,7,2,6,6,4,1,"Woman","Full Professor","Non-STEM","In the last year","More than 10 years",NA,TRUE,TRUE,TRUE,TRUE,"Passed",FALSE
172,2,3,2,2,2,3,2,2,2,2,4,5,5,5,4,5,3,4,4,4,4,5,1,4,2,2,1,2,1,1,2,3,2,2,4,4,4,5,4,4,4,4,4,2,1,1,2,1,1,1,3,4,4,4,4,5,4,3,2,1,2,1,1,2,3,1,2,1,3,2,6,5,5,5,7,4,4,1,"Woman","Post Doc","Non-STEM","In the last year","6-10 years",NA,TRUE,TRUE,TRUE,TRUE,"Passed",FALSE
173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Woman","PhD student","STEM (science, technology, engineering, mathematics)","More than 10 years ago or Never",NA,NA,TRUE,TRUE,TRUE,TRUE,"Failed",TRUE
174,4,4,3,4,5,5,5,5,4,5,4,4,4,5,4,4,5,4,5,4,2,3,4,4,1,4,5,5,5,5,5,5,5,5,4,5,3,4,4,3,3,4,4,1,1,2,3,4,1,2,1,4,3,2,3,2,3,4,3,4,6,2,4,3,4,7,7,6,6,7,5,2,2,1,2,3,4,1,"Woman","Assistant Professor","Non-STEM","In the last year","6-10 years",NA,TRUE,TRUE,TRUE,TRUE,"Passed",FALSE
175,4,3,2,4,5,3,3,4,2,4,4,4,4,4,4,4,4,4,3,3,3,3,1,1,1,1,3,3,3,3,3,3,3,3,5,5,4,3,3,3,4,4,4,1,1,1,1,2,1,1,1,3,1,3,3,3,3,3,3,3,3,3,5,3,3,7,6,4,4,5,4,5,5,4,5,4,4,1,"Woman","PhD student","Non-STEM","This year","1-5 years","3-4 articles",TRUE,TRUE,TRUE,TRUE,"Passed",FALSE
176,4,2,3,3,2,3,2,2,2,4,3,3,5,4,5,5,5,5,5,4,3,4,2,2,1,2,2,4,3,2,4,3,3,3,5,5,3,5,5,3,4,4,4,1,1,2,1,2,1,1,2,3,4,4,4,4,4,4,4,4,5,4,3,5,6,2,2,2,2,2,2,3,3,3,6,5,5,1,"Woman","PhD student","Non-STEM","This year","1-5 years","1-2 articles",TRUE,TRUE,TRUE,TRUE,"Passed",FALSE
177,4,5,4,4,4,4,4,5,2,1,4,4,4,2,4,2,3,4,3,3,2,4,2,4,3,2,1,5,1,2,4,4,4,1,2,2,2,3,4,4,3,3,3,3,3,4,5,4,3,3,3,4,4,4,4,4,4,3,4,5,6,7,3,3,3,7,6,7,1,2,1,6,6,4,5,4,3,1,"Man","PhD student","Non-STEM","In the last 5 years","1-5 years","3-4 articles",TRUE,TRUE,TRUE,TRUE,"Passed",FALSE
178,5,5,5,5,4,2,4,5,3,2,2,5,5,5,1,5,4,4,1,2,3,2,4,3,2,4,2,3,2,2,4,4,4,4,1,1,1,2,2,1,2,1,2,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,6,5,6,6,3,7,6,2,6,4,2,6,4,4,3,1,1,1,1,"Woman","This does not apply to me","STEM (science, technology, engineering, mathematics)","In the last 5 years","Less than 1 year",NA,TRUE,TRUE,TRUE,TRUE,"Passed",FALSE
179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,"Failed",TRUE
180,4,4,2,3,4,4,5,4,2,4,4,4,4,5,4,4,2,3,4,3,4,4,5,5,5,5,4,4,3,4,3,4,3,4,3,1,1,1,3,2,2,4,2,1,1,1,2,1,1,1,1,4,4,3,3,4,4,4,4,4,3,5,4,5,3,5,5,6,5,4,5,2,2,3,3,6,6,1,"Woman","Full Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA,TRUE,TRUE,TRUE,TRUE,"Passed",FALSE
181,3,4,3,4,4,4,5,4,3,3,3,4,4,5,3,4,3,4,4,3,3,3,2,2,2,2,3,5,4,4,5,4,4,3,3,3,3,4,4,3,5,4,4,2,1,1,2,3,2,2,1,4,4,3,4,3,5,3,3,6,7,6,7,7,6,6,6,2,7,3,7,5,6,2,3,3,3,1,"Man","Post Doc","Non-STEM","In the last year","More than 10 years",NA,TRUE,TRUE,TRUE,TRUE,"Passed",FALSE
182,1,1,1,1,1,2,1,1,1,1,1,4,4,1,5,2,5,5,5,5,5,4,5,5,5,5,1,1,1,1,2,2,2,2,5,5,4,5,5,5,4,4,4,1,1,1,1,2,1,1,1,5,5,5,5,5,5,4,3,1,2,1,1,2,2,1,4,1,2,2,3,1,1,3,7,3,3,0,"Man","Full Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA,TRUE,TRUE,TRUE,TRUE,"Passed",FALSE
183,3,1,1,3,2,3,2,1,2,2,3,3,3,4,2,4,4,4,4,4,4,4,3,1,2,4,1,1,1,1,3,2,2,2,4,3,3,3,4,2,4,4,4,1,1,2,2,2,2,2,3,4,4,4,4,4,4,4,4,3,3,4,5,5,5,5,3,1,5,5,3,6,6,6,6,5,5,1,"Woman","PhD student","Non-STEM","This year","1-5 years","3-4 articles",TRUE,TRUE,TRUE,TRUE,"Passed",FALSE
184,3,2,2,3,2,4,5,4,3,4,2,3,4,3,2,3,4,4,5,5,2,2,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,4,4,3,5,4,5,1,2,1,2,5,3,5,1,4,4,3,4,3,4,5,4,5,6,5,6,6,6,6,5,2,5,5,5,4,3,3,6,4,3,1,"Woman","Post Doc","Non-STEM","This year","More than 10 years",NA,TRUE,TRUE,TRUE,TRUE,"Passed",FALSE
185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Woman","PhD student","Non-STEM","More than 10 years ago or Never",NA,NA,TRUE,TRUE,TRUE,TRUE,"Failed",TRUE
186,4,3,3,3,4,1,4,4,3,5,3,4,3,5,3,5,3,4,4,4,4,4,4,5,2,4,4,4,4,4,3,1,2,4,1,1,1,2,3,2,2,3,3,3,4,1,3,2,1,2,1,4,4,2,4,4,4,4,4,2,5,2,6,6,6,4,3,5,4,6,3,5,5,5,4,6,5,0,"Woman","Associate Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA,TRUE,TRUE,TRUE,TRUE,"Passed",FALSE
187,2,1,1,2,1,2,2,1,2,4,3,2,1,2,2,3,5,5,4,5,3,5,5,4,5,5,1,1,2,1,3,3,3,2,4,5,4,4,4,4,4,5,4,1,1,1,3,1,1,3,3,4,3,3,4,4,4,5,5,1,2,1,2,2,2,2,2,1,4,1,2,6,6,5,5,5,5,1,"Woman","Post Doc","STEM (science, technology, engineering, mathematics)","In the last 5 years","6-10 years",NA,TRUE,TRUE,TRUE,TRUE,"Passed",FALSE
188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Man","PhD student","Non-STEM","More than 10 years ago or Never",NA,NA,TRUE,TRUE,TRUE,TRUE,"Failed",TRUE
189,3,1,2,4,2,1,4,1,2,2,5,5,5,1,4,5,5,4,5,3,5,4,4,4,2,3,4,4,4,3,4,4,4,4,4,2,2,4,5,3,5,5,5,1,1,1,1,4,1,1,1,4,4,3,4,3,5,5,5,1,2,1,4,1,1,6,7,4,5,5,6,7,7,6,6,6,6,1,"Woman","This does not apply to me","Non-STEM","This year","1-5 years",NA,TRUE,TRUE,TRUE,TRUE,"Passed",FALSE
190,3,2,2,4,3,5,5,4,5,5,3,3,3,4,5,3,4,4,4,4,3,4,2,1,1,2,4,4,4,4,3,4,4,4,2,4,3,3,3,3,3,3,3,1,1,2,1,2,1,1,1,3,3,3,3,3,3,3,3,2,5,2,5,3,5,3,5,3,6,5,5,3,3,2,2,3,3,1,"Man","Post Doc","Non-STEM","This year","More than 10 years",NA,TRUE,TRUE,TRUE,TRUE,"Passed",FALSE
191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,"Failed",TRUE
192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,"Failed",TRUE
193,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,1,5,5,2,1,1,1,1,1,1,5,5,1,5,5,5,5,5,1,2,1,1,5,4,1,4,5,4,4,4,2,4,1,2,3,3,1,1,1,1,1,3,3,7,6,7,7,7,2,7,6,7,7,7,7,1,1,1,1,5,5,0,"Woman","Assistant Professor","STEM (science, technology, engineering, mathematics)","In the last year","6-10 years",NA,TRUE,TRUE,TRUE,TRUE,"Passed",FALSE
194,2,2,2,3,2,4,5,2,2,4,4,2,2,3,2,2,4,4,3,4,4,2,5,4,2,5,3,4,4,3,3,4,4,4,5,5,4,5,5,5,5,4,5,1,4,1,1,4,1,1,1,4,4,3,4,4,4,4,4,3,5,5,6,2,6,5,6,5,5,6,6,4,5,4,5,6,6,1,"Woman","Post Doc","Non-STEM","In the last year","6-10 years",NA,TRUE,TRUE,TRUE,TRUE,"Passed",FALSE
195,4,3,4,3,3,4,5,4,4,4,2,4,4,4,4,4,2,4,4,4,2,3,4,4,4,4,5,5,5,5,5,4,4,4,3,3,2,4,5,5,3,4,3,1,1,1,1,3,1,1,1,4,4,3,3,3,4,4,4,3,6,4,6,6,6,6,6,4,6,6,6,5,5,7,7,7,7,1,"Man","Assistant Professor","Non-STEM","This year","6-10 years",NA,TRUE,TRUE,TRUE,TRUE,"Passed",FALSE
196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Woman","PhD student","Non-STEM","More than 10 years ago or Never",NA,NA,TRUE,TRUE,TRUE,TRUE,"Failed",TRUE
197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,"Failed",TRUE
198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,"Failed",TRUE
199,3,2,2,2,4,1,2,2,1,4,3,4,4,3,4,2,3,4,3,4,4,3,1,1,3,1,2,2,2,2,2,2,2,2,4,4,4,4,4,4,3,4,3,2,2,2,4,1,1,2,2,4,2,3,4,4,3,4,3,1,2,1,1,2,2,5,3,5,4,5,6,5,5,5,5,6,5,0,"Woman","Post Doc","STEM (science, technology, engineering, mathematics)","This year","1-5 years",NA,TRUE,TRUE,TRUE,TRUE,"Passed",FALSE
200,4,3,3,4,3,4,3,2,3,4,5,4,5,4,4,5,4,5,3,4,4,3,4,4,3,4,2,2,2,2,4,3,3,2,5,5,3,4,4,2,4,4,4,3,2,2,3,2,1,1,1,4,3,3,4,3,4,4,3,2,5,6,5,4,2,2,7,4,4,4,4,2,2,1,6,5,4,1,"Woman","This does not apply to me","Non-STEM","This year","More than 10 years",NA,TRUE,TRUE,TRUE,TRUE,"Passed",FALSE
201,2,1,2,1,1,1,2,1,2,2,3,2,2,3,5,4,3,4,4,4,5,4,5,5,5,5,2,3,2,4,3,3,2,2,3,2,2,4,4,2,5,5,5,5,1,1,3,1,1,1,4,5,5,4,4,4,4,4,5,1,2,7,2,2,2,3,5,2,5,5,5,5,5,2,4,5,5,1,"Woman","Associate Professor","Non-STEM","This year","More than 10 years",NA,TRUE,TRUE,TRUE,TRUE,"Passed",FALSE
202,2,2,2,2,2,3,3,2,2,2,3,4,3,3,3,4,4,5,5,3,5,5,5,4,5,5,1,2,1,1,3,2,2,2,4,4,3,4,4,3,4,4,4,1,1,2,1,3,1,1,1,4,4,4,4,4,4,4,5,1,2,1,2,2,2,4,5,2,4,4,4,7,7,4,7,7,7,1,"Woman","Full Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA,TRUE,TRUE,TRUE,TRUE,"Passed",FALSE
203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,"Failed",TRUE
204,4,2,1,3,2,5,5,2,3,4,3,4,4,3,2,2,5,5,5,3,4,5,5,5,2,5,3,5,2,3,5,5,5,5,4,2,2,5,5,2,5,5,5,2,1,1,5,4,1,1,2,5,5,5,5,5,5,5,5,4,7,3,7,7,5,7,7,5,7,7,7,6,6,4,7,7,7,1,"Man","Full Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA,TRUE,TRUE,TRUE,TRUE,"Passed",FALSE
205,2,3,3,2,2,5,4,1,3,2,4,5,5,4,4,4,1,2,4,3,5,3,4,3,4,4,4,5,3,2,4,3,3,3,2,2,1,2,5,2,4,5,4,1,1,1,1,2,1,1,1,5,4,3,4,4,5,4,4,4,6,4,7,7,5,6,7,7,6,7,6,5,5,1,6,6,6,1,"Woman","Associate Professor","Non-STEM","This year","6-10 years",NA,TRUE,TRUE,TRUE,TRUE,"Passed",FALSE
206,3,2,2,2,2,4,2,2,4,2,4,4,4,4,2,4,4,4,4,4,4,3,5,5,2,5,2,2,2,2,3,4,3,2,2,2,2,4,5,2,5,4,4,1,1,1,1,2,1,1,1,4,2,4,4,3,4,5,5,2,5,2,2,1,3,7,3,2,2,2,2,2,2,2,7,7,7,1,"Man","PhD student","STEM (science, technology, engineering, mathematics)","This year","1-5 years","I don't know/ This does not apply to me/ 0 articles",TRUE,TRUE,TRUE,TRUE,"Passed",FALSE
207,3,3,2,3,2,3,3,4,3,4,4,4,4,3,3,4,1,4,5,5,4,5,1,1,1,1,2,2,2,2,3,3,3,3,3,2,2,2,3,1,2,4,2,1,1,1,1,3,1,1,1,5,4,3,4,4,5,5,5,2,2,1,3,1,2,4,7,2,2,4,6,5,5,5,2,5,5,0,"Woman","Full Professor","Non-STEM","This year","More than 10 years",NA,TRUE,TRUE,TRUE,TRUE,"Passed",FALSE
208,4,3,2,2,3,2,3,2,2,4,4,2,2,2,3,3,3,4,5,4,4,4,4,4,1,3,2,2,2,2,3,4,4,3,3,3,3,4,4,3,4,5,4,3,1,1,2,5,1,4,4,5,5,4,5,5,5,4,4,2,1,2,4,2,1,6,6,2,4,2,4,5,5,3,5,5,5,1,"Woman","Assistant Professor","Non-STEM","This year","6-10 years",NA,TRUE,TRUE,TRUE,TRUE,"Passed",FALSE
209,3,1,1,3,3,2,2,1,2,2,3,4,4,4,2,3,5,4,4,4,4,4,3,3,3,3,1,2,1,1,4,2,3,2,5,5,3,4,4,4,5,5,5,2,1,1,1,5,3,1,5,5,4,4,5,3,5,4,3,2,4,2,3,5,2,3,5,1,4,3,5,3,3,3,5,5,5,1,"Man","PhD student","STEM (science, technology, engineering, mathematics)","This year","1-5 years","I don't know/ This does not apply to me/ 0 articles",TRUE,TRUE,TRUE,TRUE,"Passed",FALSE
210,3,2,2,2,3,5,4,3,2,3,4,4,4,5,2,4,4,4,3,3,4,2,5,4,4,4,3,3,2,2,3,3,2,2,4,4,4,3,3,3,5,5,5,1,1,1,2,1,1,1,1,3,3,2,3,4,4,4,4,1,5,1,2,2,2,3,3,1,5,7,6,3,3,2,3,4,4,1,"Woman","Full Professor","STEM (science, technology, engineering, mathematics)","This year","1-5 years",NA,TRUE,TRUE,TRUE,TRUE,"Passed",FALSE
211,5,4,4,3,5,5,5,4,4,5,5,5,5,5,5,5,2,2,1,1,2,5,5,5,5,5,5,5,5,5,3,3,3,3,1,1,1,1,1,1,5,5,3,1,1,4,4,4,1,3,1,3,5,1,1,3,2,5,5,2,5,2,3,2,2,2,6,5,6,5,6,6,6,1,2,7,7,1,"Woman","Associate Professor","STEM (science, technology, engineering, mathematics)","In the last 5 years","More than 10 years",NA,TRUE,TRUE,TRUE,TRUE,"Passed",FALSE
212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,"Failed",TRUE
213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,"Failed",TRUE
214,3,2,2,3,3,4,5,3,4,3,4,4,4,4,3,4,3,4,4,4,3,3,4,3,2,4,2,3,2,2,4,2,4,2,3,3,2,4,4,4,5,5,5,1,1,2,1,2,1,2,1,4,3,3,4,3,4,4,3,5,4,5,5,5,4,6,6,3,3,4,3,4,4,3,4,5,4,1,"Woman","Assistant Professor","STEM (science, technology, engineering, mathematics)","In the last year","More than 10 years",NA,TRUE,TRUE,TRUE,TRUE,"Passed",FALSE
215,3,3,3,3,3,4,5,3,3,4,4,5,5,5,5,5,4,4,2,3,2,2,4,4,2,2,5,5,2,4,3,3,3,3,3,3,3,3,3,3,3,4,3,1,1,1,5,4,2,1,2,4,3,4,3,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,2,2,6,5,1,"Man","Assistant Professor","STEM (science, technology, engineering, mathematics)","This year","1-5 years",NA,TRUE,TRUE,TRUE,TRUE,"Passed",FALSE
216,2,1,2,2,3,5,4,1,4,4,1,3,4,4,1,4,5,4,5,4,5,2,5,5,1,5,1,2,2,2,3,2,3,3,4,2,2,4,4,2,4,5,4,1,3,2,1,3,1,1,3,4,3,3,5,4,4,5,5,1,1,1,2,2,4,2,6,1,7,2,1,6,6,6,6,5,6,1,"Woman","Associate Professor","Non-STEM","In the last year","More than 10 years",NA,TRUE,TRUE,TRUE,TRUE,"Passed",FALSE
